Model Name              , Learning Rate, Batch Size, Epochs, Validation Loss    , Validation Accuracy , Full Sequence Accuracy, Best Sequence Accuracy, Best Epoch, Training Time (s)  , Parameters
Double Conv Layers      ,        0.0001,         16,     50, 1.1329991817474365 , 0.77095627784729    ,     0.2890625         ,     0.2890625         ,         47,  516.2454051971436 ,    6450019
Double Conv Layers      ,        0.0001,         16,     75, 0.7677342295646667 , 0.838843047618866   ,     0.4375            ,     0.46484375        ,         65,  781.5062010288239 ,    6450019
Double Conv Layers      ,        0.0001,         32,     50, 1.6059263944625854 , 0.6936245560646057  ,     0.1467013955116272,     0.1497395783662796,         48,  481.5921287536621 ,    6450019
Double Conv Layers      ,        0.0001,         32,     75, 3.7010107040405273 , 0.11097992211580276 ,     0.0               ,     0.0               ,          1,  109.68420815467834,    6450019
Double Conv Layers      ,        0.0005,         16,     50, 0.21657989919185638, 0.9510035514831543  ,     0.8125            ,     0.8125            ,         50,  616.1374173164368 ,    6450019
Double Conv Layers      ,        0.0005,         16,     75, 0.21251069009304047, 0.9492325186729431  ,     0.7890625         ,     0.7890625         ,         36,  883.1313605308533 ,    6450019
Double Conv Layers      ,        0.0005,         32,     50, 0.5380597114562988 , 0.9037780165672302  ,     0.578125          ,     0.5811631679534912,         47,  943.1896033287048 ,    6450019
Double Conv Layers      ,        0.0005,         32,     75, 0.4514934718608856 , 0.9120425581932068  ,     0.6323784589767456,     0.6323784589767456,         49, 1118.8628280162811 ,    6450019
Double Conv Layers      ,        0.001 ,         16,     50, 0.19530989229679108, 0.956906795501709   ,     0.828125          ,     0.828125          ,         40, 1046.157410621643  ,    6450019
Double Conv Layers      ,        0.001 ,         16,     75, 0.19532160937786102, 0.9534003043174744  ,     0.82375           ,     0.82375           ,         59,  724.2932624816895 ,    6450019
Double Conv Layers      ,        0.001 ,         32,     50, 0.327790230512619  , 0.9344746470451355  ,     0.7291666865348816,     0.7291666865348816,         34,  420.72905111312866,    6450019
Double Conv Layers      ,        0.001 ,         32,     75, 0.20894590020179749, 0.9539551734924316  ,     0.8064236044883728,     0.8094618320465088,         40,  475.7219007015228 ,    6450019
With Residual Connection,        0.0001,         16,     50, 0.967978298664093  , 0.7981110215187073  ,     0.32421875        ,     0.37890625        ,         41,  522.4979107379913 ,    6458339
With Residual Connection,        0.0001,         16,     75, 0.9776963591575623 , 0.7992916107177734  ,     0.33984375        ,     0.3671875         ,         67,  796.0901927947998 ,    6458339
With Residual Connection,        0.0001,         32,     50, 3.881251335144043  , 0.09149941056966782 ,     0.0               ,     0.0               ,          1,  108.35198044776917,    6458339
With Residual Connection,        0.0001,         32,     75, 1.471328616142273  , 0.7113341093063354  ,     0.1879340261220932,     0.1848958283662796,         72,  736.0873308181763 ,    6458339
With Residual Connection,        0.0005,         16,     50, 0.2805733382701874 , 0.9297520518302917  ,     0.6796875         ,     0.70703125        ,         49,  537.7496309280396 ,    6458339
With Residual Connection,        0.0005,         16,     75, 0.32229119539260864, 0.9238488674163818  ,     0.69140625        ,     0.71875           ,         49,  628.7519917488098 ,    6458339
With Residual Connection,        0.0005,         32,     50, 0.5850120186805725 , 0.8677685856819153  ,     0.5               ,     0.5091145634651184,         49,  492.6066520214081 ,    6458339
With Residual Connection,        0.0005,         32,     75, 0.6463150382041931 , 0.8730815052986145  ,     0.5026041865348816,     0.5177951455116272,         45,  541.7692348957062 ,    6458339
With Residual Connection,        0.001 ,         16,     50, 0.23505370318889618, 0.9451003670692444  ,     0.7109375         ,     0.765625          ,         39,  522.8570156097412 ,    6458339
With Residual Connection,        0.001 ,         16,     75, 0.21159443259239197, 0.9510036110877991  ,     0.80859375        ,     0.80859375        ,         34,  469.94338059425354,    6458339
With Residual Connection,        0.001 ,         32,     50, 0.3391680419445038 , 0.9250295162200928  ,     0.6740451455116272,     0.6861979365348816,         50,  492.3706245422363 ,    6458339
With Residual Connection,        0.001 ,         32,     75, 0.29117533564567566, 0.9327036142349243  ,     0.7191840410232544,     0.7161458134651184,         39,  481.52298164367676,    6458339
Enhanced Augmentation   ,        0.0001,         16,     50, 5.226297378540039  , 0.023612750694155693,     0.0               ,     0.0               ,          1,  120.34252548217773,    6458339
Enhanced Augmentation   ,        0.0001,         16,     75, 5.714177131652832  , 0.024203071370720863,     0.0               ,     0.0               ,          1,  118.81464123725891,    6458339
Enhanced Augmentation   ,        0.0001,         32,     50, 4.039999008178711  , 0.021251477301120758,     0.0               ,     0.0               ,          1,  110.3106439113617 ,    6458339
Enhanced Augmentation   ,        0.0001,         32,     75, 3.92868971824646   , 0.09090908616781235 ,     0.0               ,     0.0               ,          1,  109.67732000350952,    6458339
Enhanced Augmentation   ,        0.0005,         16,     50, 0.1856735497713089 , 0.9539551138877869  ,     0.78125           ,     0.78125           ,         50,  536.3883731365204 ,    6458339
Enhanced Augmentation   ,        0.0005,         16,     75, 0.1738392561674118 , 0.956316351890564   ,     0.7734375         ,     0.80078125        ,         49,  636.3472182750702 ,    6458339
Enhanced Augmentation   ,        0.0005,         32,     50, 0.29463595151901245, 0.9362456202507019  ,     0.7013888955116272,     0.7165798544883728,         49,  501.0728921890259 ,    6458339
Enhanced Augmentation   ,        0.0005,         32,     75, 0.48204031586647034, 0.9114521741867065  ,     0.6115451455116272,     0.6176215410232544,         46,  558.5908267498016 ,    6458339
Enhanced Augmentation   ,        0.001 ,         16,     50, 0.18774573504924774, 0.9574970006942749  ,     0.79296875        ,     0.8203125         ,         38,  524.1884000301361 ,    6458339
Enhanced Augmentation   ,        0.001 ,         16,     75, 0.210235133767128  , 0.9510035514831543  ,     0.796875          ,     0.796875          ,         63,  790.2031629085541 ,    6458339
Enhanced Augmentation   ,        0.001 ,         32,     50, 0.2926276922225952 , 0.935064971446991   ,     0.6766493320465088,     0.6979166865348816,         49,  501.7988543510437 ,    6458339
Enhanced Augmentation   ,        0.001 ,         32,     75, 0.20048166811466217, 0.9504132270812988  ,     0.7660590410232544,     0.7782118320465088,         54,  638.7583723068237 ,    6458339
